entity,period,metric,value,unit,row_role,level,src_sheet,src_row,src_col,scale_applied,scale_source,raw_value,flags
전체 > 노인인구(65세 이상) > 균등화 소득평균(만원),2023,시장소득,2369,,data,0,데이터,9,6,1,none,,DITTO_FILLED
전체 > 노인인구(65세 이상) > 균등화 소득평균(만원),2023,처분가능소득,3004,,data,0,데이터,9,7,1,none,,DITTO_FILLED
전체 > 노인인구(65세 이상) > 균등화 소득평균(만원),2024,시장소득,2567,,data,0,데이터,9,8,1,none,,DITTO_FILLED
전체 > 노인인구(65세 이상) > 균등화 소득평균(만원),2024,처분가능소득,3247,,data,0,데이터,9,9,1,none,,DITTO_FILLED
전체 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2022,시장소득,57.1,,data,0,데이터,10,4,1,none,,DITTO_FILLED
전체 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2022,처분가능소득,38.1,,data,0,데이터,10,5,1,none,,DITTO_FILLED
전체 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2023,시장소득,55.5,,data,0,데이터,10,6,1,none,,DITTO_FILLED
전체 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2023,처분가능소득,38.2,,data,0,데이터,10,7,1,none,,DITTO_FILLED
전체 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2024,시장소득,54.9,,data,0,데이터,10,8,1,none,,DITTO_FILLED
전체 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2024,처분가능소득,35.9,,data,0,데이터,10,9,1,none,,DITTO_FILLED
남자 > 전체 > 균등화 소득평균(만원),2022,시장소득,4239,,data,0,데이터,11,4,1,none,,
남자 > 전체 > 균등화 소득평균(만원),2022,처분가능소득,4011,,data,0,데이터,11,5,1,none,,
남자 > 전체 > 균등화 소득평균(만원),2023,시장소득,4625,,data,0,데이터,11,6,1,none,,
남자 > 전체 > 균등화 소득평균(만원),2023,처분가능소득,4364,,data,0,데이터,11,7,1,none,,
남자 > 전체 > 균등화 소득평균(만원),2024,시장소득,4849,,data,0,데이터,11,8,1,none,,
남자 > 전체 > 균등화 소득평균(만원),2024,처분가능소득,4569,,data,0,데이터,11,9,1,none,,
남자 > 전체 > 상대적빈곤율(중위소득50%이하 %),2022,시장소득,18.1,,data,0,데이터,12,4,1,none,,DITTO_FILLED
남자 > 전체 > 상대적빈곤율(중위소득50%이하 %),2022,처분가능소득,13,,data,0,데이터,12,5,1,none,,DITTO_FILLED
남자 > 전체 > 상대적빈곤율(중위소득50%이하 %),2023,시장소득,17.7,,data,0,데이터,12,6,1,none,,DITTO_FILLED
